id,sentence,emotion,emoticon,,
1,こんにちは。,喜び,＼(＾▽＾)／,,
2,あきらめたらそこで試合終了だよ,励まし,p| ￣∀￣ |q?,,
3,これでいいのだ・・・,後悔,(_　_|||),,
4,立つんだ、ジョー！,興奮,(*゜∀゜)=3!!,,
5,燃えたよ、燃え尽きた、真っ白にな,虚しい,ヽ( ´ー`)ﾉﾌｯ,,
6,目が～～！目が～～！,苦痛,(／-＼),,
7,黙れ小僧！,怒り,(｀Д´),,
8,飛べねぇ豚はただの豚だ。,虚しさ,σ（￣（●●）￣）,,
9,親父にもぶたれたこと無いのに！！,悲しみ 怒り 驚き,Σ(ﾟ口ﾟ;,,
10,お前は、神が”死ね”って言ったら死ぬのかァ！？,怒り,(　ﾟДﾟ),,
11,背中の傷は剣士の恥だ…,名誉,(￣ー￣),,
12,同情するなら金をくれ,困る,(´Д｀υ),,
13,我が生涯に一片の悔いなし!,誇り,(・∀・),,
14,愛などいらぬ！,切ない,(´・ω・｀),,
15,人間だもの☆,気にしない,(>ω゜δ #,,
16,超レアだぜ,満足,( ･´ｰ･｀)?,,
17,もう疲れたよパトラッシュ,諦め,(´・ω・｀),,
18,ブルータス、お前もか,裏切られる 無念,┗┐＜(??ω?? )＞┌┛,,
19,海賊王におれはなる,決心,ψ(｀∇´)ψ,,
20,まったくいい人生だった,後悔はしていない,(￣▽￣),,
21,興味ないね。,どうでもいい,?（ ￣＿￣）ﾉ,,
22,終わらせてやるよ・・・・何もかも！！,自信,(￣ー+￣),,
23,この俺を超えてみよ！,挑発,щ(ﾟДﾟщ),,
24,真実は、いつもひとつ！,キリッ,(｀・ω・´),,
25,ふざけんなって感じですかね。,冷静な怒り,"（-""""-；)",,
26,最強の剣じゃないのかー！,驚き 焦り,Σ(ﾟДﾟ;)|||,,
27,欲しい！その刀、くれ～！,欲求,(;;;ﾟДﾟ),,
28,いいですとも！,期待,?((o(^-^)o)),,
29,くそっ！やられた,悔しむ,ヽ(´Д`;)ﾉ,,
30,坊やだからさ・・・,仕方ない,(。-ω-),,
31,逃げちゃだめだ・・・,恐怖,（；ﾟ Дﾟ）,,
32,おそろしい子・・・！,恐れ,((((；ﾟДﾟ)))),,
33,まだまだだね,煽る,"( ´,_ゝ｀)",,
34,おわった・・なにもかも,絶望,(llﾟдﾟll),,
35,ざわ・・・ざわ・・・,緊張 予感,(；ﾟдﾟ；),,
36,ヤなやつ！,不満,?σ(°┰~ )?,,
37,なん…だと…？,驚き,∑(!?￣Д￣),,
38,はやくにんげんになりたい,願い,八(＾□＾*),,
39,だめじゃぁーーー,無念,('A`),,
40,ごめんね。,申し訳ない,（(´･ω･`)）,,
41,もう一度いってみろ,挑発,（　´ー｀）＜,,
42,問題ない,満足,"( ^,_ゝ^)",,
43,反対の賛成なのだ,どうでもいい,(・ε・).,,
44,俺達の勝ちだぁ！！！,喜び,ヽ( ﾟДﾟ)人(ﾟДﾟ )ﾉ,,
45,こういうのも悪くねえ　うん　悪くねえ,満足,(´ー｀),,
46,くやしいけど、うまい！！,悔しいが嬉しい,v(￣Д￣)v?,,
47,説明すると長くなる。,面倒,?(´_ゝ`),,
48,何をするだァーッ！,怒り,凸(ﾟ皿ﾟﾒ),,
49,べ　別に,照れ,(∀｀*)ゞ,,
50,心配かけやがって！,安心,ヽ(・∀・ )ﾉ,,
51,何だか知らんが　とにかくよし！,とりあえず満足,(^ω^),,
52,アツイゼ！　アツイゼ！　アツクテシヌゼ！,ハイテンション,?ヾ(≧ー≦)ゞ,,
53,ありえない、何かの間違いではないのか？,驚き,∑(=ﾟωﾟ=;),,
54,これは　ひどい,不満,"(ー""ー )?",,
55,話が・・・違うっすよ・・・,困る,…(；´Д｀),,
56,そうだ！それでいい！,満足,(ΦωΦ),,
57,質問を質問で返すなあーっ！！,怒り,∑(￣皿￣；；,,
58,いやん！,羞恥,(*ﾉ∀ﾉ),,
59,遅かったじゃないか・・・,心配,ヾ(;´▽｀A``,,
60,じょ、冗談じゃ・・・,困る,Σ(||ﾟДﾟ),,
61,いかん！そいつには手を出すな！,焦り 恐怖,Σ(゜ロ゜;)!!,,
62,ついてねえ！ついてねえよ！！,悔しい,(ｏ´_｀ｏ),,
63,てめえのものさしで語るんじゃねェよ。,軽い怒り,(・ω<) てへぺろ,,
64,まだだ！まだ終わらんよ！！,諦めない,(*ﾟ▽ﾟ*),,
65,なんでもするからさーっ！,嘆き,(人>д<*),,
66,天才ですから,自惚れ,(　･`ω･´)?,,
67,いいか、俺は面倒が嫌いなんだ,不満,(ﾉ∀`),,
68,なにこれ・・・ふざけてるの・・・？,怒り 悲しみ,(　｀_ゝ´),,
69,やっぱりかぁぁぁ！！,無念,Σ(´Д｀lll),,
70,愛してるんだ！君たちを！,愛しさ,(*´∀｀*),,
71,嘘・・・なのね・・・,悲しみ,（・_・。）,,
72,これは・・・面倒なことに・・・なった・・・,困る,ヽ(´～｀；,,
73,ゆるさんっ！,怒り,(#´∀｀),,
74,無事でよかった,安心,（*´∇`）,,
75,わすれたよ　なにもかも・・・,悲しい,(TωT),,
76,やなこった,不満,ヽ(ｏ`皿′ｏ)ﾉ?,,
77,おのれ！！,怒り,o(▼皿▼メ;)o,,
78,ひ…卑怯だぞコンチクショー!!,怒り,<# ｀Д´>,,
79,だが断る,不満,(`Ａ´)　、,,
80,すまん!!!　恩にきる!!!!,感謝,<(_ _*)>,,
81,見ろ！人がごみのようだ！,優越感,Ψ(｀▽´)Ψ,,
82,いいぞいいぞ,褒め,(*^ーﾟ)b?,,
83,きっと　うまくいくさ…！,期待,((o(*^^*)o)),,
84,何か違うかなって…思ってたよ…,無念,（ _ _ ）,,
85,だ…誰だね君はコンチクショー!!,よくわからない怒り,ε=(｡･｀ω´･｡),,
86,全然違うじゃないかーっ!!!,怒り,(＃｀Д´)凸?,,
87,ホンマにスッキリや！,快感,（´∀｀*）,,
88,・・・さらばだ,悲しい,(´ω｀。),,
89,オッス!!,気合い,(￣´口`￣)ﾉ,,
90,あきらめるもんかー！,諦めない,ヾ(｀・ω・´)ﾉ,,
91,いや…それはきくまい,不安,(-＿-),,
92,去年とおなじことすなー!!,怒り 呆れ,(；＾o＾),,
93,気がかわった…,裏切り,（￣ー￣）ふっ,,
94,そうか… そうだったのか…！！,安心 喜び,(-ι_- ),,
95,な… なんで…？,驚き,(ﾟДﾟ#),,
96,守れなかった・・・,悲しみ 後悔,(_　_|||)?,,
97,なんじゃこりゃあああ！！,驚き,Σ(ﾟДﾟ；),,
98,やれやれだぜ,呆れ,ヽ(ﾟ～ﾟo)ﾉ?,,
99,わすれるもんか～！,怒り,ヽ(｀⌒´#)ノ,,
100,誰だってそーする　おれもそーする,呆れ,（´・∀・｀）,,
101,こんにちは,挨拶 喜び,￣O￣)ノ,(*^･ｪ･)ﾉ,
102,ありがとうございます,申し訳ない,<(_ _*)>,,
103,どういたしまして,許諾 同意,ヾ(･_･｡),,
104,ごめんなさい,申し訳ない,m(-_-)m,,
105,すみません,申し訳ない,(o。_。)o,,
106,さようなら,挨拶 寂しい,(/_･､)/~~,(*￣▽￣)ﾉ~~ ,
107,もう一度お願いします,申し訳ない,ﾉ(_ _ ﾉ),,
108,○○をお願いします,願望,~~-v(*￣･￣),,
109,どうぞ,許諾 同意,(　・_・)つ,,
110,大丈夫ですか,心配,ヾ(ﾟ０ﾟ；)ノ,,
111,大丈夫です,許諾 同意,(^_^ ),,
112,少々お待ちください,願望 申し訳ない,(=´ー｀)ノ　,,
113,日本語は話せますか,疑問,(・・∂)?,,
114,英語は話せません,申し訳ない,m(._. )m,,
115,なにバカなこと言ってるんだ,呆れる,(#´Д｀),,
116,今やらなくてはいけない仕事だ,決意,( ｀◇´)ゞ,,
117,また間違いじゃないの？,疑問,...?^^);･･)?ﾟ◇ﾟ)?,,
118,本当に裏切ったんですか！,怒り,(#｀д´),,
119,誰なんだあんた一体！,疑問 怒り,？！(・◇・#) ,,
120,何故みてるんです！,怒り,Σ(｀Θ´)=3,,
121,嘘だそんなことー！！,落胆 絶望,＼( T∧T)／,,
122,体がボロボロになるぞ！,忠告 心配,ヾ(~Д~;) ,,
123,俺のカラダはボロボロだ！,開き直り,(」°ﾛ°)｣,,
124,凄い熱だ,心配,｢(ｰﾍー;),,
125,じゃあ俺どうするんです？,疑問,(ﾟヘﾟ)？,,
126,信じられない…。,悲しい,((o(;△;)o)),,
127,間違いない！,確信,σﾟﾛﾟ)σ,,
128,邪魔だ！,怒り,凸(｀Д´メ),,
129,俺の責任です,申し訳ない,(m｡_ _)/,,
130,必ず帰ってくるって言ったじゃないか！,落胆 怒り,ヾ(#TДT)ﾉ,,
131,おじゃまします,挨拶 申し訳ない,∥Ю-(´Д｀●),,
132,行ってきます,挨拶,ヽ( ・∀・)ノ,,
133,みなさん、良い夢を,挨拶,(σ・∀・)σ,,
134,おやすみなさい,挨拶,(*v.v),,
135,○○がすごい！,喜び 期待,(´∀｀∩),,
136,すごく美味しい！,幸せ,(ﾟдﾟ)ｳﾏｰ,,
137,やっと終わった,安心,糸冬 了…_φ(ﾟ∀ﾟ ),,
138,コーヒー吹いた,報告 笑い,｀;:ﾞ;｀;･(ﾟεﾟ )ﾌﾞｯ!!,,
139,これかっこいいね,感動,ｶｺ(・∀・)ｲｲ!!,,
140,グッジョブ！,喜び,(￣ー￣)ｂｸﾞｯ!,,
141,プーデルのCM毎日４連発はキツイわ・・・,呆れる,(・_・;),,
142,PC完成したのはいいがちょっと不安定,嬉しいけどちょっと不安,(・へ・),,
143,○○の曲はいい曲ばっかりだった,感動,（*^_^*）,,
144,軽トラにロマンを感じた,感動,(´ー｀),,
145,金！お金！金！　　あと金！,欲望,(￥∀￥),,
146,スクラップにしてやんよ！,好戦的,m9( ﾟдﾟ),,
147,ワイのワイルドワイバーンや！,自慢 優越感,(￣ー￣)ﾄﾞﾔｯ,,
148,ペンで書くの忘れてた・・・,失敗 落胆,(ToT),,
149,LANの取り付けで手こずる・・・。,苦戦 疲れ,(=o=;),,
150,あ、ども、いつも死にかけのAGOです,謙遜 申し訳ない,^m^;,,
151,お前どうやってここまで来たの？,疑問 驚愕,!!(ﾟﾛﾟ屮)屮,,
152,人の運命を勝手に決めるなよ！,怒り,( #` ￢´#) ノ,,
153,2Dの3D化はかなりの鬼門だと思うけど…,心配,∑（;￣□￣Ａ,,
154,ギャップあり過ぎ!!　萎えた……,落胆,（≡д≡）,,
155,これコントローラーおかしくね？,疑問 悔しい,（￢o￢）,,
156,これで勝ったと思うなよ！,怒り,(-_-ﾒ;),,
157,しかし回り込まれてしまった！,驚愕,(|||ﾉ｀□´)ﾉ,,
158,このゲーム酷い出来だな。クソゲー過ぎ！,驚愕 落胆,(￣△￣；）,,
159,どこにあるのか全然わかんねーよ,苦戦,(；´Д`A,,
160,軍はこの城のすぐ前まで迫ってきています！,慌てている,(;￣Д￣),,
161,お前の真の目的は何だ！？,疑問 怒り,(｀-´メ,,
162,しまった！落とし穴だ！,後悔 驚愕,ﾉ(￣０￣;)＼,,
163,セーブできない…,苦戦 焦り,(＠Д＠；,,
164,ちゃんと装備しないと意味はないぞ。,忠告,ヽ(´～｀,,
165,念願のアイスソードを手に入れたぞ！,自慢 優越感,↑ヘ(=^‥^),,
166,せっかくだから俺はこの赤い扉を選ぶぜ！,期待,ﾍ(*ﾟ∇ﾟ)ﾉ,,
167,いつも応援してくれてありがとう！,感謝,(-人-),,
168,熱が出て苦しい。,苦しい,(；~〓~),,
169,こんなゲームにマジになっちゃってどうするの？,忠告,(▼へ▼,,
170,残念ながらここで時間切れとなってしまった,残念 悔しい,(ﾉ_-;),orz,
